"accountId";"comment";"fee";"quantity";"type";"unitPrice";"currency";"dataSource";"date";"symbol"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.94";"EUR";"MANUAL";"2021-11-03T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.09";"USD";"MANUAL";"2021-11-03T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.19";"0.19";"1";"DIVIDEND";"1.28";"USD";"YAHOO";"2021-11-02T07:46:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"3.42";"EUR";"MANUAL";"2021-11-02T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"3.98";"USD";"MANUAL";"2021-11-02T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-11-01T14:26:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-11-01T14:26:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-11-01T14:26:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.70";"0.7";"1";"DIVIDEND";"4.68";"USD";"YAHOO";"2021-11-01T13:50:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011540547 - Dividend:  - dividendTax: -0.51";"0.51";"1";"DIVIDEND";"3.4";"EUR";"YAHOO";"2021-10-26T07:17:00.000Z";"ABN.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.31";"EUR";"MANUAL";"2021-10-14T07:31:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.53";"USD";"MANUAL";"2021-10-14T07:31:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011821202 - Dividend:  - dividendTax: -0.07";"0.07";"1";"DIVIDEND";"0.48";"EUR";"YAHOO";"2021-10-13T08:15:00.000Z";"INGA.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.27";"0.27";"1";"DIVIDEND";"1.8";"USD";"YAHOO";"2021-10-13T07:49:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.02";"EUR";"MANUAL";"2021-10-02T10:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.02";"EUR";"MANUAL";"2021-10-02T10:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.02";"EUR";"MANUAL";"2021-10-02T10:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.3";"EUR";"MANUAL";"2021-09-28T07:31:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.36";"USD";"MANUAL";"2021-09-28T07:31:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.06";"0.06";"1";"DIVIDEND";"0.42";"USD";"YAHOO";"2021-09-27T08:11:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011794037 - Dividend:  - dividendTax: -0.13";"0.13";"1";"DIVIDEND";"0.86";"EUR";"YAHOO";"2021-09-03T07:28:00.000Z";"AD.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-09-02T21:29:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-09-02T21:29:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-09-02T21:29:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.68";"EUR";"MANUAL";"2021-08-18T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.8";"USD";"MANUAL";"2021-08-18T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US6826801036 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.94";"USD";"YAHOO";"2021-08-17T07:29:00.000Z";"OKE"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"4.25";"EUR";"MANUAL";"2021-08-04T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"5.05";"USD";"MANUAL";"2021-08-04T07:36:00.000Z";"Fee"
